Name,Gender,Age,Grade,Picture,BloodType,Height,Weight
송태섭,남자,21,3,무,B,179.1,63.9
최유정,여자,23,1,유,A,177.1,54.9
이한나,여자,20,1,무,A,167.9,50.2
김소혜,여자,23,3,무,O,176.1,53.5
서태웅,남자,24,4,무,B,176.1,79.8
정대만,남자,24,2,유,B,175.2,61.7
이정환,남자,22,4,무,B,169.1,69.8
채소연,여자,22,2,유,AB,169.9,52.7
강백호,남자,23,3,무,O,165.5,68.5
전소미,여자,22,2,유,O,161.9,52.3
변덕규,남자,21,1,무,A,163.2,55.5
정채연,여자,22,2,무,B,157.8,44.9
권준호,남자,24,4,유,O,166.9,61.7
채치수,남자,23,3,무,AB,181.8,85.9
윤대협,남자,22,2,유,AB,180.3,76.2
김세정,여자,21,1,무,O,155.5,44.9
신준섭,남자,23,1,무,A,168.9,62.7
